"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.1 uF","","Capacitor_SMD:C_1210_3225Metric","1",""
"C3","C","","Library:CAP_VZ_FBR_AIS","1",""
"Cbyp1","1 uF","","Capacitor_SMD:C_1210_3225Metric","1",""
"D1","LED","","LED_SMD:LED_2512_6332Metric","1",""
"F1","Fuse","","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","1",""
"J1","Power In","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J2","Screw_Terminal_01x04","","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","1",""
"Q1","Q_PJFET_GDS","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"Q2","Q_NJFET_GDS","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"R1,R2","1M","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R3","100k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R5,R6,R7","R_Small","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R8","10k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R9","10K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","ESP32-DevKitC","https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html","Espressif:ESP32-DevKitC","1",""
"U2","D24V5F5","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
